licitacao,proponente, situacao
332419,2977362000162,0
332419,27985664000103,0
332419,10831701000126,1
332419,8778201000126,1
332719,23231361000144,0
332719,24127572000102,0
332719,24483944000125,1
332919,24127572000102,0
332919,23231361000144,0
332919,24483944000125,1
1469319,26756644000106,1
1469419,9478023000180,1
1469419,5122616000159,1
1469419,63478895000194,1
1469419,8160290000142,1
1469719,63478895000194,1
1469719,5122616000159,1
1469719,8160290000142,1
1469719,9478023000180,1
1469819,24127572000102,1
1473619,6128655000126,1
1474119,29571878000169,1
1474119,17631027000185,1
1474119,24334596000124,1
1474119,21227058000142,1
1474119,32394006000187,1
1474119,4007864000196,1
1474119,4034623000136,1
1474319,8930336000165,1
1474619,1452794000197,1
1474719,2153327000129,1
1476319,14827381000191,1
1476819,10286009000164,0
1476819,30701846000110,0
1476819,6039211000114,0
1476819,13174062000161,0
1476819,21198282000153,0
1476819,10315247000150,0
1476819,10363235000100,0
1476819,9024439000129,0
1476819,19915692000126,0
1476819,5875209000112,1
1479819,33412041000144,1
1481419,40983728000103,1
1481419,3517351000162,1
1481419,11948983000109,1
1482119,16501916000165,0
1482119,79345583000819,0
1482119,12007998000135,0
2991119,13440646000131,1
2991219,19464948000126,0
2991219,13440646000131,1
802119,8228010000433,0
802119,5301712000164,1
2992019,8194270000192,1
803819,29977481000171,0
803819,4949494000106,0
803819,4679119000193,0
803819,1686814000194,0
803819,13344533000132,0
803819,29250038000102,0
803819,18044711000123,0
803819,7324070000144,0
803819,5015356000112,0
803819,24059658000137,0
803819,32137518000168,0
803819,21318384000165,0
803819,25008219000168,0
803819,24483944000125,0
803819,29398597000156,0
803819,21187875000114,0
803819,15016792000160,0
803819,32272659000193,0
803819,13131876000119,1
804119,8061304000170,1
804419,3139129000173,0
804419,14101812000138,0
804419,9353418000157,1
804419,7905412000110,1
804419,7420645000122,1
804419,28982936000184,1
2996019,11083424000183,1
2998219,29620239000146,1
2998619,5031301000104,1
3001719,4064641000160,1
808019,8228010000433,0
808019,2596872000190,0
808019,5301712000164,1
3003519,510185000184,1
3004519,18127489000122,1
3007819,8134975000114,1
810019,24220972000230,1
3010519,22046901000157,1
3011319,11083424000183,1
3011519,33142122000171,1
3011519,33031712000127,1
3011519,33097717000152,1
3011519,32980985000155,1
3011519,33384147000181,1
3011519,32982687000102,1
3011519,33082964000185,1
3011519,32982098000116,1
3011519,33083350000118,1
3011519,32981303000129,1
3011519,33308755000107,1
3011719,27985664000103,1
3011719,10831701000126,1
3011819,23390425000150,1
3011919,9323745000166,1
3012219,5437369000180,1
3012919,8164012000163,1
3012919,35588102000154,1
3013619,12681870000152,1
3013619,19464948000126,1
3013619,13440646000131,1
3015819,26754111000187,0
3015819,20288800000167,1
3017219,27944573000120,1
3019519,27944573000120,1
3019819,17792470000138,1
812419,49058654000165,0
812419,44216778000108,0
812419,90051160000152,0
812419,26365896000104,0
812419,2604236000162,0
812419,8773990000102,0
812419,5075877000165,0
812419,13622580000109,1
812419,21306287000152,1
812419,630985000139,1
3020019,18004407000152,1
3020019,10954450000177,1
3020319,8791659000115,1
3021219,11150150000106,1
3021319,29262608000176,1
3021419,11150150000106,1
3025319,19297022000193,1
813919,35422021000180,1
813919,7318707000190,1
813919,11319653000154,1
813919,4906156000197,1
813919,2044971000169,1
3029519,28302534000191,1
3029519,8449096000181,1
3029519,29314271000101,1
3029519,13603534000154,1
3031319,13426195000188,1
3031319,12967090000173,1
3032119,24544987000173,0
3032119,18296153000193,1
3035919,12225575000191,1
3036319,97532879000154,1
3037519,4235161000115,1
3037619,19464948000126,0
3037619,31068280000101,0
3037619,13258973000177,1
3037619,10714416000125,1
3037619,622097000174,1
3037919,5734665000142,0
3037919,4708116000130,0
3037919,17018554000119,1
3038519,70100615000256,1
3038519,22526394000159,1
3038519,828906000107,1
3039019,29680177000168,1
3039319,17620703000115,0
3039319,17055353000191,1
3039419,20228830000188,1
3039919,32615931000190,1
3039919,22526394000159,1
818919,7609311000100,1
3040719,1517003000160,1
3041619,12670936000109,1
3043319,24567649000157,1
3043319,17573383000190,1
3043319,13719718000184,1
3045619,10789214000142,0
3045619,19382678000104,0
3045619,26764981000137,0
3045619,29600854000190,0
3045619,5113157000147,1
3046119,8160290000142,1
3046219,24779186000197,1
3046219,35588102000154,1
3046219,2620622000148,1
3046219,1184984000170,1
3046419,15334991000116,1
820719,15161670000167,1
820719,8674752000140,1
820719,9260831000177,1
820719,16682179000144,1
820719,63478895000194,1
820719,15218561000139,1
820719,8778201000126,1
3047519,2914690000110,0
3047519,1807006000138,1
3051719,3466020000140,1
3052219,16782879000100,0
3052219,20284072000115,1
3053119,33506471000125,1
3056019,5797987000130,1
3056419,35715234000876,0
3056419,17792470000138,1
3056719,10714416000125,1
3057019,7189346000129,1
3057419,12357354000177,0
3057419,7532327000153,1
3058719,8766032000295,1
3058719,26728561000103,1
3058719,9041189000135,1
3058719,13258973000177,1
3059319,8856937000175,0
3059319,10655938000101,1
3059319,9109547000102,1
3059319,23902222000103,1
3060219,20926130000167,1
3060219,20385922000171,1
3060219,17318394000123,1
3060319,11426166000190,1
3060319,7936090000176,1
3060619,2432832000102,0
3060619,18658386000199,0
3060619,22319912000163,1
3060619,1222778000108,1
3060619,10359279000158,1
3060619,32194799000190,1
3062219,4866656000142,1
3062419,14402647000154,1
3062419,18296153000193,1
3062419,17572003000100,1
3062419,18995457000149,1
3063019,41205303000128,1
3063119,9442754000176,1
3063119,1767395000115,1
3063119,18557568000173,1
826919,7807909000103,0
826919,18995457000149,1
826919,19918905000173,1
826919,13603534000154,1
826919,14101812000138,1
826919,37227550000158,1
826919,8449096000181,1
826919,16515252000193,1
826919,13613739000110,1
3064819,15440834000195,1
3065319,30597577000193,1
3065319,7227808000155,1
3065319,26290355000156,1
3067919,27491230000157,1
3068419,26837925000185,1
3068419,5691104000103,1
3069019,19825725000147,1
3069019,19567110000168,1
3069019,27250163000189,1
3069019,19575094000155,1
3069019,19553457000151,1
3069019,21726228000133,1
3069019,19539047000156,1
3069019,29399820000180,1
3070019,6095249000104,0
3070019,17886274000122,0
3070019,11885087000148,0
3070019,28314347000128,0
3070019,10878419000102,1
3070019,14177678000159,1
3071219,9478023000180,0
3071219,63478895000194,1
3071219,5797987000130,1
3071219,7788510000114,1
3071319,19733619000133,1
3071319,20326678000176,1
3071819,32513161000175,1
3072119,21127085000143,1
3072119,7803245000104,1
3072119,31860198000107,1
3072119,24476672000136,1
3072219,19733619000133,1
3072219,20326678000176,1
3072419,14402647000154,1
3072519,31860198000107,1
3072519,21127085000143,1
3072619,10754828000199,0
3072619,30330883000169,1
3072619,585424000165,1
831319,19407191000139,0
831319,40945446000103,0
831319,4814098000171,0
831319,27123365000160,0
831319,21636341000128,0
831319,9141083000103,0
831319,28320052000164,1
831319,21309155000184,1
3075119,13531679000197,1
3078519,4666364000166,0
3078519,15659814000100,1
3078519,16826043000160,1
3078519,23178900000129,1
3079819,3120645000237,1
3079819,6306274000190,1
3079819,20926130000167,1
3079819,837722000103,1
3079819,20385922000171,1
3079819,27779389000171,1
3079819,1222778000108,1
3079919,11103448000157,1
3080019,28687633000139,1
3080019,18626410000108,1
3080019,5960310000171,1
3080419,16707246000138,1
3080919,12679494000161,1
3080919,7358710000137,1
3080919,4826424000160,1
3081019,12848592000185,1
3081019,29671720000160,1
3081019,5757746000168,1
3081019,37227550000158,1
3082619,9508226000172,1
3082719,70133293000160,0
3082719,4826424000160,1
3082719,26873236000126,1
3082919,28114128000103,0
3082919,31094999000109,0
3082919,30233033000142,1
3083219,9508226000172,1
3083219,21820153000155,1
3084219,19918905000173,0
3084219,21062777000150,0
3084219,19835542000102,0
3084219,8449096000181,1
836319,6160338000197,1
836319,4114868000173,1
3085919,1091310000121,0
3085919,8194270000192,1
3087019,13258973000177,1
3087019,1412713000125,1
3087119,9365396000145,1
3088319,4906156000197,1
3088319,20226553000174,1
3088319,14118455000110,1
3088519,27779389000171,1
3088819,20926130000167,1
3088819,3120645000237,1
3088819,1222778000108,1
3088819,6306274000190,1
3088819,20385922000171,1
3088819,837722000103,1
3088819,27779389000171,1
3089119,5905065000108,1
3089219,11103448000157,1
3089319,5960310000171,1
3089319,28687633000139,1
3089319,18626410000108,1
3089719,12679494000161,1
3089719,4826424000160,1
3089719,7358710000137,1
3091619,28687633000139,1
3091619,35588102000154,1
3091819,28687633000139,1
3091819,35588102000154,1
3092119,26720174000112,0
3092119,22181266000110,1
839619,26739555000143,1
839619,2775367000102,1
839619,29100463000107,1
840619,20344229000150,1
3093819,30597577000193,1
3094019,30597577000193,1
3094119,7177669000100,0
3094119,1084111000196,0
3094119,26287551000171,1
3096619,14209485000132,1
3096619,22144012000122,1
3096619,11938541000181,1
3098519,29939448000157,1
3098519,27216000000180,1
3098719,17711924000107,1
3098719,18637837000101,1
3099019,9039574000148,0
3099019,16682179000144,1
3099019,29775313000101,1
3100819,1233506000103,0
3100819,14313165000128,0
3100819,17809782000107,0
3100819,2750635000131,1
3101019,30806992000100,1
842719,26739555000143,1
842719,2775367000102,1
842719,29100463000107,1
3101119,3467684000124,1
3101519,22769247000100,1
3101619,1233506000103,0
3101619,2750635000131,0
3101619,17809782000107,0
3101619,14313165000128,0
3101619,18920924000171,0
3101619,4326123000178,1
3101819,13258973000177,1
3101819,19464948000126,1
3101919,3467684000124,1
3102319,11319653000154,1
3102319,4906156000197,1
3102419,22759235000102,1
3105419,7936090000176,1
3105419,4064641000160,1
3106319,20226846000151,0
3106319,15218561000139,0
3106319,3817043000152,1
3106319,10831701000126,1
3106319,40787152000109,1
3106319,12305387000173,1
3106319,12734018000104,1
3106319,70104344000126,1
3106319,8778201000126,1
3106319,63478895000194,1
3106419,17278993000160,1
3106819,11505498000160,0
3106819,27347966000156,1
3107119,35715234000876,1
3107219,585424000165,1
3107919,70104344000126,1
845719,9286691000106,1
845719,4742988000115,1
3108819,22759235000102,0
3108819,13570141000191,1
3110219,16682179000144,1
3110219,2977362000162,1
3110219,8160290000142,1
3111219,4675421000173,1
3111519,8791659000115,0
3111519,40757908000169,1
3113519,41133018000149,1
3113619,17792470000138,1
3114419,3372105000160,0
3114419,25215083000167,1
3114719,9050124000156,1
3114919,29711343000146,1
3115319,26743365000108,1
3115419,19566913000106,1
3116319,40979684000130,1
3116419,27150530000172,1
3117119,19589612000190,1
3117119,11748883000139,1
3117319,9050124000156,1
3117519,40979684000130,1
3117719,19589612000190,1
3117719,11748883000139,1
848719,1309949000130,1
848719,8172556000177,1
3117819,7824583000114,1
3117919,7177669000100,1
3120219,27219590000102,1
3123919,12670936000109,1
3124319,10746626000286,1
3124719,19904801000100,0
3124719,11500957000113,0
3124719,8833798000164,0
3124719,10614676000129,0
3124719,6095249000104,0
3124719,8097841000170,0
3124719,20277630000115,0
3124719,16779575000194,0
3124719,27015710000141,0
3124719,9578438000126,0
3124719,28314347000128,0
3124719,8397547000184,1
3124719,23149181000118,1
3125119,21391428000182,1
3125519,8449096000181,1
3125519,909340000130,1
