licitacao;proponente; situacao
1527917;17886274000122;0
 588618;   5453608000276;1
2545418;   198693000179;
3612118;19786958000188;1
3612118;10642423000169;1
3612118;10973009000132;1
4026518;97532879000154;1
4162718;33842068000177;1
6008618;29029336000169;1
6278818;24294779000163;0
6278818;9189517000145;1
6278818;10661909000144;1
6368118;24279655000109;
6368118;20335256000167;1
6368118;13440646000131;1
6808218;70104344000126;1
6808218;8674752000140;1
6939718;30250913000127;1
6939718;8966895000125;1
6980318;7909631000177;0
6980318;8381236000127;0
6980318;7804258000190;1
7038218;8438654000103;1
7044418;7631411000124;1
7044418;4654716000163;1
7044418;16693935000130;1
7121618;8651840000126;0
7121618;17560794000140;0
7121618;14991955000162;1
7130618;29884994000138;0
7130618;20010332000164;0
7130618;19420845000164;1
7195518;15348142000111;0
7195518;13199098000108;0
7195518;4826424000160;1
7251518;29884994000138;1
7252618;1658745000105;1
7309318;15409799000141;0
7309318;14977470000114;0
7309318;25157541000159;1
7326618;15705860000106;1
7384218;25250450000163;0
7384218;20949329000100;0
7384218;35586809000121;0
7384218;22924281000101;0
7384218;6176355000112;0
7384218;24064804000112;0
7384218;17624502000196;1
7417918;3372105000160;0
7417918;4792477000108;0
7417918;9605291000116;1
7425418;20949329000100;0
7425418;22924281000101;1
7479518;23593802000158;1
7543818;27944573000120;1
7576918;10887669000109;0
7576918;20617376000157;0
7576918;13344533000132;0
7576918;28619603000195;0
7576918;16417577000133;0
7576918;27351912000164;0
7576918;9647712000171;1
7631918;10545637000117;1
7637118;3395789000115;1
7648718;11150150000106;1
7729418;13968480000120;0
7729418;70102546000139;1
7751318;24024359000167;0
7751318;8438654000103;0
7751318;22885188000135;1
7771818;22759235000102;0
7771818;24263536000168;1
7775218;27944573000120;0
7775218;8438654000103;0
7775218;17440965000106;0
7775218;17809782000107;0
7775218;5881170000146;0
7775218;30676883000115;1
7775918;31615295000134;1
7793518;28536867000185;1
7803418;70102546000139;0
7803418;9605291000116;0
7803418;40947921000180;0
7803418;19293019000100;1
7808018;24298895000150;1
7819118;7909631000177;1
7819418;7909631000177;1
7834818;17560794000140;0
7834818;26781189000190;0
7834818;27450426000101;1
7839318;26262981000139;0
7839318;304559000105;0
7839318;10779833000156;0
7839318;4099366000110;0
7839318;11426166000190;0
7839318;22465640000100;0
7839318;41116302000107;0
7839318;1274126000117;1
7839318;26156923000120;1
7839318;26383168000117;1
7839318;12040718000190;1
7839318;7946534000154;1
7839318;12305387000173;1
7843518;14313165000128;0
7843518;8438654000103;0
7843518;22759235000102;1
7922418;20930189000129;0
7922418;17809782000107;0
7922418;8438654000103;0
7922418;20533368000122;0
7922418;2627856000117;0
7922418;21601339000113;0
7922418;26542655000185;1
7948618;26290355000156;0
7948618;7227808000155;0
7948618;20873342000123;1
7948618;29048665000157;1
7983718;21187875000114;1
7983718;29972807000178;1
7983718;10655938000101;1
7983718;4949494000106;1
7988118;26650202000172;0
7988118;27762169000135;1
8000118;4238951000154;0
8000118;3259614000180;1
8024018;7540724000177;1
8025118;15233791000177;0
8025118;11170603000158;0
8025118;19744104000139;0
8025118;22885188000135;0
8025118;7524547000135;0
8025118;27347680000170;1
8029118;29050310000100;0
8029118;15233791000177;0
8029118;4441785000199;0
8029118;22885188000135;0
8029118;17415942000133;0
8029118;7524547000135;0
8029118;29495357000170;0
8029118;19744104000139;0
8029118;11170603000158;0
8029118;27347680000170;1
8060418;29552827000190;0
8060418;19594219000194;0
8060418;9319988000120;1
8060418;1686814000194;1
8073118;21645432000120;1
8073118;13351120000185;1
8096818;35715234000876;1
8102418;16501916000165;1
8109118;22924281000101;0
8109118;17604005000126;0
8109118;27491234000135;0
8109118;11170603000158;0
8109118;13721826000191;0
8109118;13351120000185;0
8109118;21645432000120;1
8110218;5265090000166;1
8119018;15233791000177;0
8119018;21933413000107;0
8119018;25250450000163;0
8119018;29107599000149;0
8119018;13351120000185;0
8119018;12102978000143;0
8119018;17624502000196;0
8119018;27623174000167;0
8119018;20256412000102;0
8119018;22924281000101;0
8119018;35586809000121;1
8134318;19752881000125;0
8134318;14960500000180;1
8134318;4827789000100;1
8134318;35422021000180;1
8134318;24279655000109;1
8152518;17620703000115;1
8153718;5820995000150;0
8153718;24024359000167;1
8172218;7609311000100;0
8172218;13351120000185;0
8172218;20256412000102;1
8173318;26781189000190;0
8173318;13351120000185;1
8181118;22759235000102;0
8181118;29287959000131;0
8181118;29102727000161;0
8181118;2627856000117;1
8203218;29747644000120;1
8205818;20474613000178;0
8205818;1568077000125;0
8205818;7575881000118;1
8219318;18995457000149;1
8219318;16501916000165;1
8222418;21558601000194;1
8222818;5521929000180;1
8222918;2938901000154;1
8222918;9234429000118;1
8228918;4667686000120;1
8248418;34151100004209;1
8250618;1084111000196;0
8250618;7177669000100;0
8250618;18604375000126;1
8260518;13128246000195;1
8288118;29312896000126;1
8288118;4099366000110;1
8288118;3965517000103;1
8290418;6281452000175;0
8290418;9367038000171;0
8290418;14209485000132;0
8290418;19752596000104;0
8290418;18995457000149;1
8290418;19580923000198;1
8290418;2393076000150;1
8290418;19918905000173;1
8290418;8449096000181;1
8293218;11170603000158;0
8293218;3278968000172;0
8293218;11150150000106;1
8297618;14102427000105;1
8300318;5672519000130;0
8300318;17020542000129;0
8300318;26290355000156;0
8300318;21778760000102;0
8300318;27207040000165;0
8300318;23966163000129;0
8300318;12424127000117;1
8300318;5955177000165;1
8312918;15161782000118;0
8312918;17809782000107;1
8313318;9093964000104;1
8314218;4601397000128;0
8314218;23981698000179;0
8314218;11080674000160;1
8338518;4667686000120;1
8406618;22576181000131;0
8406618;16613449000165;0
8406618;21211907000170;0
8406618;31900447000140;1
8409518;8449096000181;0
8409518;26873236000126;0
8409518;14209485000132;1
8409518;40964066000116;1
8409518;14402647000154;1
8409518;32106818000180;1
8409518;7239645000120;1
8421518;4679119000193;1
8421518;31499939000176;1
8421518;12710916000114;1
8421518;16826043000160;1
8427018;7870719000122;0
8427018;24173719000192;0
8427018;10835137000110;1
8427418;2938901000154;1
8427518;2938901000154;1
8431318;16613449000165;1
8446918;4881913000115;0
8446918;17440965000106;1
8447818;15161782000118;0
8447818;22759235000102;1
8449818;5031301000287;1
