licitacao;proponente;situacao
Doc. 09739/14;2,02009E+12;Perdedora
Doc. 09739/14;1,20681E+13;Perdedora
Doc. 09739/14;1,12684E+13;Vencedora
Doc. 09741/14;4,15777E+13;Perdedora
Doc. 09741/14;2,02009E+12;Perdedora
Doc. 09741/14;1,5408E+13;Vencedora
Doc. 09743/14;1,39895E+11;Perdedora
Doc. 09743/14;1,20681E+13;Perdedora
Doc. 09743/14;1,12684E+13;Vencedora
Doc. 09744/14;5,80072E+13;Vencedora
Doc. 09744/14;2,12676E+13;Perdedora
Doc. 09744/14;8,61076E+13;Perdedora
Doc. 09744/14;1,14016E+13;Perdedora
Doc. 09744/14;7,08138E+12;Perdedora
Doc. 09744/14;5,13504E+13;Perdedora
Doc. 09750/14;1,12684E+13;Perdedora
Doc. 09750/14;1,12684E+13;Perdedora
Doc. 09750/14;1,39895E+11;Vencedora
Doc. 10854/14;2,42698E+13;Vencedora
Doc. 16647/14;2,89604E+12;Vencedora
Doc. 26604/14;1,12684E+13;Vencedora
Doc. 26605/14;8,70115E+12;Vencedora
Doc. 26959/14;3,5571E+13;Vencedora
Doc. 30128/14;1,34483E+13;Vencedora
Proc. 09664/14;1,12684E+13;Vencedora
Proc. 09666/14;1,12684E+13;Vencedora
Doc. 37261/14;4,12232E+12;Perdedora
Doc. 37261/14;1,12684E+13;Perdedora
Doc. 37261/14;1,39895E+11;Vencedora
Doc. 37262/14;5,80072E+13;Vencedora
Doc. 37262/14;2,12676E+13;Perdedora
Doc. 37262/14;8,61076E+13;Perdedora
Doc. 37262/14;1,14016E+13;Perdedora
Doc. 37262/14;7,08138E+12;Perdedora
Doc. 37262/14;5,13504E+13;Perdedora
Doc. 37263/14;4,12232E+12;Perdedora
Doc. 37263/14;1,12684E+13;Perdedora
Doc. 37263/14;1,39895E+11;Vencedora
Doc. 37264/14;1,12684E+13;Perdedora
Doc. 37264/14;4,12232E+12;Perdedora
Doc. 37264/14;1,39895E+11;Vencedora
Doc. 37265/14;4,12232E+12;Perdedora
Doc. 37265/14;1,12684E+13;Perdedora
Doc. 37265/14;1,39895E+11;Vencedora
Doc. 37268/14;4,12232E+12;Perdedora
Doc. 37268/14;1,12684E+13;Perdedora
Doc. 37268/14;1,39895E+11;Vencedora
Doc. 40116/14;2,00337E+13;Vencedora
Doc. 43260/14;1,39895E+11;Vencedora
Proc. 11709/14;1,5408E+13;Perdedora
Proc. 11709/14;1,20681E+13;Vencedora
Doc. 00033/15;8,70115E+12;Vencedora
Doc. 00035/15;8,70115E+12;Vencedora
Doc. 00048/15;5,80072E+13;Vencedora
Doc. 00048/15;2,12676E+13;Perdedora
Doc. 00048/15;8,61076E+13;Perdedora
Doc. 00048/15;1,14016E+13;Perdedora
Doc. 00048/15;7,08138E+12;Perdedora
Doc. 00048/15;5,13504E+13;Perdedora
Doc. 00288/15;1,49767E+13;Vencedora
Doc. 03584/15;1,49767E+13;Perdedora
Doc. 03584/15;8,67303E+12;Perdedora
Doc. 03584/15;8,70115E+12;Vencedora
Doc. 16620/15;1,12684E+13;Perdedora
Doc. 16620/15;1,05464E+13;Perdedora
Doc. 16620/15;1,49767E+13;Vencedora
Doc. 18907/15;1,52463E+12;Perdedora
Doc. 18907/15;1,41408E+13;Vencedora
Doc. 19210/15;5,80072E+13;Vencedora
Doc. 19210/15;2,12676E+13;Perdedora
Doc. 19210/15;8,61076E+13;Perdedora
Doc. 19210/15;1,14016E+13;Perdedora
Doc. 19210/15;7,08138E+12;Perdedora
Doc. 19210/15;5,13504E+13;Perdedora
Doc. 18907/15;6,2039E+12;Vencedora
Doc. 31204/15;1,84305E+13;Vencedora
Doc. 31205/15;1,84305E+13;Vencedora
Proc. 09276/15;8,70115E+12;Vencedora
Doc. 46567/15;1,5408E+13;Perdedora
Doc. 46567/15;1,84305E+13;Vencedora
Doc. 51382/15;1,84305E+13;Vencedora
Doc. 51383/15;1,5408E+13;Perdedora
Doc. 51383/15;8,70115E+12;Vencedora
Proc. 15149/15;1,94208E+13;Perdedora
Proc. 15149/15;1,84305E+13;Perdedora
Proc. 15149/15;1,49767E+13;Vencedora
Doc. 09151/16;8,70115E+12;Vencedora
Doc. 15705/16;2,31416E+12;Perdedora
Doc. 15705/16;1,13922E+13;Perdedora
Doc. 15705/16;1,41408E+13;Vencedora
Doc. 18472/16;2,16068E+13;Perdedora
Doc. 18472/16;8,70115E+12;Perdedora
Doc. 18472/16;1,49767E+13;Vencedora
Proc. 05200/16;8,70115E+12;Perdedora
Proc. 05200/16;1,84305E+13;Vencedora
Proc. 10437/16;8,70115E+12;Vencedora
Doc. 44964/16;1,84305E+13;Perdedora
Doc. 44964/16;1,49767E+13;Perdedora
Doc. 44964/16;1,16226E+13;Vencedora
Doc. 61594/16;3,27897E+12;Vencedora
Doc. 21581/17;1,57059E+13;Vencedora
Doc. 29958/17;3,27897E+12;Vencedora
Proc. 12208/17;1,45754E+13;Perdedora
Proc. 12208/17;1,10942E+13;Perdedora
Proc. 12208/17;1,24027E+13;Perdedora
Proc. 12208/17;9,32653E+12;Perdedora
Proc. 12208/17;1,49767E+13;Vencedora
Doc. 23846/18;1,57059E+13;Vencedora
Doc. 46038/18;7,72847E+12;Vencedora
