ident_licit;cnpj_proponente;situacao_proposta
79120;3,28E+12;1
153820;3,35E+13;0
153820;2,79E+13;0
153820;2,44E+13;0
153820;3,46E+13;1
176220;6,95E+12;1
82720;1,50E+13;1
83220;1,78E+13;1
189820;1,54E+13;1
196320;5,16E+12;0
196320;2,44E+13;0
196320;2,70E+13;1
205520;3,16E+13;0
205520;1,74E+13;0
205520;2,61E+13;0
205520;2,98E+13;0
205520;2,40E+13;0
205520;5,88E+12;0
205520;2,62E+13;0
205520;4,33E+12;0
205520;1,78E+13;0
205520;2,75E+12;1
209120;8,98E+12;1
85620;2,28E+13;0
85620;3,06E+13;0
85620;2,81E+13;0
85620;2,75E+13;0
85620;1,74E+13;0
85620;2,99E+13;0
85620;3,27E+13;0
85620;5,88E+12;0
85620;2,42E+13;0
85620;1,97E+13;0
85620;3,41E+12;1
214020;1,76E+13;0
214020;2,02E+13;1
88820;7,91E+12;0
88820;4,30E+12;0
88820;9,61E+12;0
88820;9,05E+12;0
88820;9,76E+11;0
88820;7,01E+13;0
88820;1,88E+13;1
224620;1,30E+13;1
224620;1,74E+13;1
227020;9,20E+12;1
227320;2,68E+13;1
230220;9,33E+12;1
232220;2,68E+13;0
232220;7,61E+12;0
232220;2,03E+13;0
232220;1,86E+13;1
232220;1,52E+13;1
234420;3,46E+13;1
253220;4,46E+12;1
267220;1,67E+13;1
267620;1,43E+13;1
94420;2,12E+13;1
268420;3,16E+13;0
268420;3,20E+13;0
268420;3,16E+13;1
269320;2,75E+12;0
269320;2,69E+13;0
269320;3,20E+13;0
269320;1,06E+13;1
276720;1,34E+13;0
276720;1,74E+13;0
276720;1,86E+13;0
276720;2,65E+13;0
276720;2,03E+13;0
276720;2,18E+13;0
276720;4,32E+12;1
95420;9,76E+11;0
95420;4,30E+12;0
95420;7,91E+12;0
95420;9,61E+12;0
95420;8,79E+12;1
288220;2,61E+13;1
96920;9,61E+12;1
296420;4,08E+12;0
296420;1,81E+12;0
296420;2,82E+13;1
298320;1,21E+13;0
298320;2,75E+13;1
311320;3,46E+13;1
318020;2,68E+13;1
98520;3,25E+13;0
98520;2,52E+13;0
98520;3,27E+13;0
98520;3,06E+13;0
98520;2,20E+13;1
326020;3,88E+12;1
330220;2,63E+12;0
330220;1,67E+13;1
332120;1,52E+13;1
337720;3,06E+13;1
341820;3,07E+13;1
343720;2,29E+12;1
346920;1,94E+13;1
352820;3,43E+13;0
352820;3,39E+13;1
369920;7,02E+13;1
374120;1,73E+13;1
380720;2,97E+13;1
384720;3,14E+13;0
384720;1,52E+13;0
384720;1,86E+13;0
384720;3,20E+12;0
384720;2,18E+13;0
384720;2,03E+13;1
386720;7,61E+12;0
386720;2,18E+13;0
386720;2,65E+13;0
386720;2,30E+13;1
108420;2,52E+13;0
108420;8,06E+12;1
389920;2,00E+13;1
398920;1,12E+13;0
398920;1,37E+13;0
398920;1,25E+13;1
401920;4,07E+12;1
401920;7,55E+12;1
402920;1,94E+13;1
403120;1,86E+13;0
403120;1,12E+13;1
406520;1,25E+13;1
410020;7,75E+12;0
410020;1,89E+13;0
410020;2,70E+13;1
410120;5,88E+12;0
410120;1,07E+13;1
410520;2,70E+13;1
427220;6,13E+12;1
427320;6,13E+12;1
427520;1,55E+13;1
432220;2,24E+13;0
432220;1,94E+13;1
435420;1,75E+13;1
437020;3,36E+13;1
441920;3,46E+13;0
441920;5,16E+12;0
441920;3,60E+13;0
