licit;proponente;situacao
6980318;7,91E+12;0
6980318;8,38E+12;0
6980318;7,80E+12;1
7038218;8,44E+12;1
7121618;8,65E+12;0
7121618;1,76E+13;0
7121618;1,50E+13;1
7130618;2,99E+13;0
7130618;2,00E+13;0
7130618;1,94E+13;1
7251518;2,99E+13;1
7252618;1,66E+12;1
7309318;1,54E+13;0
7309318;1,50E+13;0
7309318;2,52E+13;1
7326618;1,57E+13;1
7384218;2,53E+13;0
7384218;2,09E+13;0
7384218;3,56E+13;0
7384218;2,29E+13;0
7384218;6,18E+12;0
7384218;2,41E+13;0
7384218;1,76E+13;1
7417918;3,37E+12;0
7417918;4,79E+12;0
7417918;9,61E+12;1
7425418;2,09E+13;0
7425418;2,29E+13;1
7543818;2,79E+13;1
7631918;1,05E+13;1
7637118;3,40E+12;1
7648718;1,12E+13;1
7729418;1,40E+13;0
7729418;7,01E+13;1
7751318;2,40E+13;0
7751318;8,44E+12;0
7751318;2,29E+13;1
7771818;2,28E+13;0
7771818;2,43E+13;1
7775218;2,79E+13;0
7775218;8,44E+12;0
7775218;1,74E+13;0
7775218;1,78E+13;0
7775218;5,88E+12;0
7775218;3,07E+13;1
7775918;3,16E+13;1
7803418;7,01E+13;0
7803418;9,61E+12;0
7803418;4,09E+13;0
7803418;1,93E+13;1
7819118;7,91E+12;1
7819418;7,91E+12;1
7834818;1,76E+13;0
7834818;2,68E+13;0
7834818;2,75E+13;1
7843518;1,43E+13;0
7843518;8,44E+12;0
7843518;2,28E+13;1
7922418;2,09E+13;0
7922418;1,78E+13;0
7922418;8,44E+12;0
7922418;2,05E+13;0
7922418;2,63E+12;0
7922418;2,16E+13;0
7922418;2,65E+13;1
7988118;2,67E+13;0
7988118;2,78E+13;1
8024018;7,54E+12;1
8025118;1,52E+13;0
8025118;1,12E+13;0
8025118;1,97E+13;0
8025118;2,29E+13;0
8025118;7,52E+12;0
8025118;2,73E+13;1
8029118;2,91E+13;0
8029118;1,52E+13;0
8029118;4,44E+12;0
8029118;2,29E+13;0
