licitacao, proponente, situacao
6980318,7910000000000,0
6980318,8380000000000,0
6980318,7800000000000,1
7038218,8440000000000,1
7121618,8650000000000,0
7121618,17600000000000,0
7121618,15000000000000,1
7130618,29900000000000,0
7130618,20000000000000,0
7130618,19400000000000,1
7251518,29900000000000,1
7252618,1660000000000,1
7309318,15400000000000,0
7309318,15000000000000,0
7309318,25200000000000,1
7326618,15700000000000,1
7384218,25300000000000,0
7384218,20900000000000,0
7384218,35600000000000,0
7384218,22900000000000,0
7384218,6180000000000,0
7384218,24100000000000,0
7384218,17600000000000,1
7417918,3370000000000,0
7417918,4790000000000,0
7417918,9610000000000,1
7425418,20900000000000,0
7425418,22900000000000,1
7543818,27900000000000,1
7631918,10500000000000,1
7637118,3400000000000,1
7648718,11200000000000,1
7729418,14000000000000,0
7729418,70100000000000,1
7751318,24000000000000,0
7751318,8440000000000,0
7751318,22900000000000,1
7771818,22800000000000,0
7771818,24300000000000,1
7775218,27900000000000,0
7775218,8440000000000,0
7775218,17400000000000,0
7775218,17800000000000,0
7775218,5880000000000,0
7775218,30700000000000,1
7775918,31600000000000,1
7803418,70100000000000,0
7803418,9610000000000,0
7803418,40900000000000,0
7803418,19300000000000,1
7819118,7910000000000,1
7819418,7910000000000,1
7834818,17600000000000,0
7834818,26800000000000,0
7834818,27500000000000,1
7843518,14300000000000,0
7843518,8440000000000,0
7843518,22800000000000,1
7922418,20900000000000,0
7922418,17800000000000,0
7922418,8440000000000,0
7922418,20500000000000,0
7922418,2630000000000,0
7922418,21600000000000,0
7922418,26500000000000,1
7988118,26700000000000,0
7988118,27800000000000,1
8024018,7540000000000,1
8025118,15200000000000,0
8025118,11200000000000,0
8025118,19700000000000,0
8025118,22900000000000,0
8025118,7520000000000,0
8025118,27300000000000,1
8029118,29100000000000,0
8029118,15200000000000,0
8029118,4440000000000,0
8029118,22900000000000,0
8029118,17400000000000,0
8029118,7520000000000,0
8029118,29500000000000,0
8029118,19700000000000,0
8029118,11200000000000,0
8029118,27300000000000,1
8073118,21600000000000,1
8073118,13400000000000,1
8109118,22900000000000,0
8109118,17600000000000,0
8109118,27500000000000,0
8109118,11200000000000,0
8109118,13700000000000,0
8109118,13400000000000,0
8109118,21600000000000,1
8119018,15200000000000,0
8119018,21900000000000,0
8119018,25300000000000,0
8119018,29100000000000,0
8119018,13400000000000,0
8119018,12100000000000,0
8119018,17600000000000,0
8119018,27600000000000,0
8119018,20300000000000,0
8119018,22900000000000,0
8119018,35600000000000,1
8152518,17600000000000,1
8153718,5820000000000,0
8153718,24000000000000,1
