,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,cast,keywords,director
0,25000000,"['Drama', 'Crime']",,278,tt0111161,en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",51.645403,1994-09-23,28341469.0,142.0,Released,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,False,8.5,8358.0,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']","['prison', 'corruption', 'police brutality']",Frank Darabont
1,6000000,"['Drama', 'Crime']",http://www.thegodfather.com/,238,tt0068646,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",41.109264,1972-03-14,245066411.0,175.0,Released,An offer you can't refuse.,The Godfather,False,8.5,6024.0,"['Marlon Brando', 'Al Pacino', 'James Caan']","['italy', 'love at first sight', 'loss of father']",Francis Ford Coppola
2,13200000,"['Comedy', 'Drama', 'Romance']",,19404,tt0112870,hi,Dilwale Dulhania Le Jayenge,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",34.457024,1995-10-20,100000000.0,190.0,Released,Come... Fall In Love,Dilwale Dulhania Le Jayenge,False,9.1,661.0,"['Shah Rukh Khan', 'Kajol', 'Amrish Puri']",['musical'],Aditya Chopra
3,185000000,"['Drama', 'Action', 'Crime']",http://thedarkknight.warnerbros.com/dvdsite/,155,tt0468569,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",123.167259,2008-07-16,1004558444.0,152.0,Released,Why So Serious?,The Dark Knight,False,8.3,12269.0,"['Christian Bale', 'Michael Caine', 'Heath Ledger']","['dc comics', 'crime fighter', 'secret identity']",Christopher Nolan
4,63000000,['Drama'],http://www.foxmovies.com/movies/fight-club,550,tt0137523,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",63.869599,1999-10-15,100853753.0,139.0,Released,Mischief. Mayhem. Soap.,Fight Club,False,8.3,9678.0,"['Edward Norton', 'Brad Pitt', 'Meat Loaf']","['support group', 'dual identity', 'nihilism']",David Fincher
5,8000000,"['Thriller', 'Crime']",,680,tt0110912,en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",140.950236,1994-09-10,213928762.0,154.0,Released,Just because you are a character doesn't mean you have character.,Pulp Fiction,False,8.3,8670.0,"['John Travolta', 'Samuel L. Jackson', 'Uma Thurman']","['transporter', 'brothel', 'drug dealer']",Quentin Tarantino
6,22000000,"['Drama', 'History', 'War']",http://www.schindlerslist.com/,424,tt0108052,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,41.725123,1993-11-29,321365567.0,195.0,Released,"Whoever saves one life, saves the world entire.",Schindler's List,False,8.3,4436.0,"['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes']","['factory', 'concentration camp', 'hero']",Steven Spielberg
7,3300000,['Drama'],http://sonyclassics.com/whiplash/,244786,tt2582802,en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",64.29999,2014-10-10,13092000.0,105.0,Released,The road to greatness can take you to the edge.,Whiplash,False,8.3,4376.0,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']","['jazz', 'obsession', 'conservatory']",Damien Chazelle
8,15000000,"['Fantasy', 'Adventure', 'Animation']",http://movies.disney.com/spirited-away,129,tt0245429,ja,千と千尋の神隠し,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,41.048867,2001-07-20,274925095.0,125.0,Released,The tunnel led Chihiro to a mysterious town...,Spirited Away,False,8.3,3968.0,"['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki']","['witch', 'parent child relationship', 'magic']",Hayao Miyazaki
9,20000000,"['Comedy', 'Drama']",,637,tt0118799,it,La vita è bella,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,39.39497,1997-12-20,229400000.0,116.0,Released,"An unforgettable fable that proves love, family and imagination conquer all.",Life Is Beautiful,False,8.3,3643.0,"['Nicoletta Braschi', 'Roberto Benigni', 'Giorgio Cantarini']","['italy', 'riddle', 'bookshop']",Roberto Benigni
