protocolo;numero_licitacao;modalidade;cd_ugestora;valor_licitado;ano_homologacao;cpf_cnpj_proponente;valor_proposta;situacao_proposta
Doc. 00008/19;00002/2019;Pregao Presencial;201134;7.320.000,00;2019;132589730001-77;7.800.000,00;Perdedora
Doc. 00008/19;00002/2019;Pregao Presencial;201134;500.000,00;2019;167474410001-91;7.320.000,00;Vencedora
Doc. 00008/19;00002/2019;Pregao Presencial;201134;7.320.000,00;2019;219690260001-12;7.800.000,00;Perdedora
Doc. 00008/19;00002/2019;Pregao Presencial;201134;7.320.000,00;2019;409454460001-03;7.800.000,00;Perdedora
Doc. 00038/19;00003/2019;Pregao Presencial;201134;1.100.000,00;2019;167474410001-91;1.680.000,00;Vencedora
Doc. 00134/19;00001/2019;Pregao Presencial;201016;1.072.500,00;2019;38821080002-24;55.046.500,00;Vencedora
Doc. 00134/19;00001/2019;Pregao Presencial;201016;2.500.000,00;2019;224104700001-66;1.110.000,00;Vencedora
Doc. 00134/19;00001/2019;Pregao Presencial;201016;1.680.000,00;2019;253126920001-34;2.096.500,00;Vencedora
Doc. 00135/20;00012/2019;Inexigibilidade;201051;81.511.840,00;2020;197103620001-02;6.500.000,00;Vencedora
Doc. 00137/19;10001/2019;Pregao Eletronico;610095;1.072.500,00;2019;57635090001-00;6.200.000,00;Vencedora
Doc. 00163/20;00001/2020;Pregao Presencial;201165;15.407.200,00;2020;115009570001-13;7.140.000,00;Vencedora
Doc. 00163/20;00001/2020;Pregao Presencial;201165;5.217.950,00;2020;193826780001-04;8.240.000,00;Perdedora
Doc. 00163/20;00001/2020;Pregao Presencial;201165;15.407.200,00;2020;199048010001-00;8.860.000,00;Vencedora
Doc. 00166/19;00001/2019;Pregao Presencial;201051;24.225.387,00;2019;110149680001-93;6.166.800,00;Vencedora
Doc. 00178/19;00002/2019;Pregao Presencial;201051;24.225.387,00;2019;44516260001-75;3.349.904,00;Vencedora
Doc. 00178/19;00002/2019;Pregao Presencial;201051;24.225.387,00;2019;77885100001-14;3.215.750,00;Vencedora
Doc. 00183/19;00040/2018;Pregao Presencial;201186;24.225.387,00;2019;93327430001-33;60.433.608,00;Vencedora
Doc. 00184/19;00052/2018;Pregao Presencial;201099;24.225.387,00;2019;243958730001-09;1.923.900,00;Vencedora
Doc. 00184/20;00001/2020;Pregao Presencial;201103;15.407.200,00;2020;229198690001-77;62.924.605,00;Vencedora
Doc. 00184/20;00001/2020;Pregao Presencial;201103;15.407.200,00;2020;283025340001-91;72.219.311,00;Vencedora
Doc. 00185/19;00053/2018;Pregao Presencial;201099;1.440.000,00;2019;243958730001-09;2.009.700,00;Vencedora
Doc. 00186/19;00032/2018;Pregao Presencial;201047;7.149.996,00;2019;54536080001-95;12.200.000,00;Vencedora
Doc. 00189/20;00001/2020;Tomada de Precos;201117;15.407.200,00;2020;316152950001-34;20.739.692,00;Vencedora
Doc. 00190/20;00040/2019;Pregao Presencial;201010;15.407.200,00;2020;10349970001-63;23.254.812,00;Vencedora
Doc. 00190/20;00040/2019;Pregao Presencial;201010;38.109.200,00;2020;72396450001-20;2.693.350,00;Vencedora
Doc. 00190/20;00040/2019;Pregao Presencial;201010;15.407.200,00;2020;94780230001-80;905.000,00;Vencedora
Doc. 00190/20;00040/2019;Pregao Presencial;201010;38.109.200,00;2020;126339520001-21;1.252.000,00;Vencedora
Doc. 00190/20;00040/2019;Pregao Presencial;201010;38.109.200,00;2020;157334170001-30;1.508.200,00;Vencedora
Doc. 00190/20;00040/2019;Pregao Presencial;201010;38.109.200,00;2020;180727640001-58;1.393.800,00;Vencedora
Doc. 00190/20;00040/2019;Pregao Presencial;201010;38.109.200,00;2020;634788950001-94;435.000,00;Vencedora
Doc. 00191/20;00041/2019;Pregao Presencial;201010;5.847.300,00;2020;81602900001-42;2.626.734,00;Vencedora
Doc. 00191/20;00041/2019;Pregao Presencial;201010;1.750.000,00;2020;94780230001-80;4.428.328,00;Vencedora
Doc. 00191/20;00041/2019;Pregao Presencial;201010;3.600.000,00;2020;634788950001-94;2.869.620,00;Vencedora
Doc. 00192/19;00001/2019;Pregao Presencial;201101;9.368.800,00;2019;92102190001-90;3.126.000,00;Vencedora
Doc. 00192/19;00001/2019;Pregao Presencial;201101;23.792.000,00;2019;94780230001-80;3.126.000,00;Vencedora
Doc. 00192/19;00001/2019;Pregao Presencial;201101;8.662.500,00;2019;107190480001-08;3.200.000,00;Vencedora
Doc. 00192/19;00001/2019;Pregao Presencial;201101;23.792.000,00;2019;127109160001-14;3.030.000,00;Vencedora
Doc. 00193/19;00002/2019;Pregao Presencial;201101;23.792.000,00;2019;5854240001-65;10.858.000,00;Vencedora
Doc. 00194/19;00003/2019;Pregao Presencial;201101;23.792.000,00;2019;177924700001-38;14.000.000,00;Vencedora
Doc. 00198/20;00002/2020;Pregao Presencial;201141;5.847.300,00;2020;294106980001-03;30.493.101,00;Vencedora
Doc. 00200/20;00044/2019;Pregao Presencial;201060;5.847.300,00;2020;168260930001-48;18.540.000,00;Vencedora
Doc. 00201/20;00004/2020;Pregao Presencial;201141;5.847.300,00;2020;315262560001-60;5.005.650,00;Vencedora
Doc. 00202/20;00001/2020;Tomada de Precos;201141;11.500.313,00;2020;46125550001-45;33.333.333,00;Vencedora
Doc. 00202/20;00001/2020;Tomada de Precos;201141;11.500.313,00;2020;119712430001-93;16.666.667,00;Vencedora
Doc. 00207/20;04066/2019;Pregao Eletronico;201095;11.500.313,00;2020;111572550001-89;6.686.400,00;Vencedora
Doc. 00216/20;00007/2019;Tomada de Precos;201220;2.000.000,00;2020;86490000001-29;8.520.000,00;Vencedora
Doc. 00216/20;00007/2019;Tomada de Precos;201220;11.500.313,00;2020;116639000001-35;4.800.000,00;Vencedora
Doc. 00233/20;00002/2020;Pregao Presencial;201195;3.220.000,00;2020;92007270001-97;20.000.000,00;Vencedora
Doc. 00234/20;00003/2020;Pregao Presencial;201195;16.599.000,00;2020;38170430001-52;1.462.590,00;Vencedora
Doc. 00234/20;00003/2020;Pregao Presencial;201195;7.241.942,00;2020;81602900001-42;2.041.000,00;Vencedora
Doc. 00234/20;00003/2020;Pregao Presencial;201195;800.000,00;2020;86747520001-40;438.500,00;Vencedora
Doc. 00234/20;00003/2020;Pregao Presencial;201195;3.220.000,00;2020;92516270001-90;297.000,00;Vencedora
Doc. 00234/20;00003/2020;Pregao Presencial;201195;3.220.000,00;2020;94780230001-80;1.193.100,00;Vencedora
Doc. 00234/20;00003/2020;Pregao Presencial;201195;7.241.942,00;2020;107190480001-08;3.439.900,00;Vencedora
Doc. 00234/20;00003/2020;Pregao Presencial;201195;500.000,00;2020;152185610001-39;7.651.160,00;Vencedora
Doc. 00234/20;00003/2020;Pregao Presencial;201195;3.220.000,00;2020;261569230001-20;325.000,00;Vencedora
Doc. 00234/20;00003/2020;Pregao Presencial;201195;800.000,00;2020;331607390001-10;2.469.960,00;Vencedora
Doc. 00234/20;00003/2020;Pregao Presencial;201195;16.599.000,00;2020;634788950001-94;388.350,00;Vencedora
Doc. 00236/20;00002/2020;Pregao Presencial;201042;139.600.494,00;2020;46125550001-45;25.000.000,00;Vencedora
Doc. 00243/19;00001/2019;Tomada de Precos;201138;117.536.348,00;2019;223718440001-81;4.800.000,00;Vencedora
Doc. 00245/19;00001/2019;Tomada de Precos;201166;58.253.000,00;2019;16587450001-05;28.591.549,00;Vencedora
Doc. 00246/19;00021/2018;Pregao Presencial;601044;58.253.000,00;2019;132589730001-77;7.701.200,00;Vencedora
Doc. 00249/19;00002/2019;Pregao Presencial;201138;58.253.000,00;2019;4120200001-70;16.072.440,00;Vencedora
Doc. 00255/19;00001/2019;Pregao Presencial;601013;200.000,00;2019;46507440001-02;12.000.000,00;Vencedora
Doc. 00255/19;00001/2019;Pregao Presencial;601013;6.200.000,00;2019;61810520001-98;11.820.000,00;Perdedora
Doc. 00261/19;00002/2019;Pregao Presencial;201016;2.500.000,00;2019;114637940001-46;7.697.800,00;Vencedora
Doc. 00261/19;00002/2019;Pregao Presencial;201016;153.135.060,00;2019;218937010001-77;5.000.000,00;Vencedora
Doc. 00261/19;00002/2019;Pregao Presencial;201016;6.166.800,00;2019;271678510001-80;2.500.000,00;Vencedora
Doc. 00261/19;00002/2019;Pregao Presencial;201016;153.135.060,00;2019;276309140001-92;2.700.000,00;Vencedora
Doc. 00261/19;00002/2019;Pregao Presencial;201016;586.000,00;2019;276533520001-00;5.656.800,00;Vencedora
Doc. 00261/19;00002/2019;Pregao Presencial;201016;92.153.076,00;2019;277322360001-79;2.750.000,00;Vencedora
Doc. 00261/19;00002/2019;Pregao Presencial;201016;46.688.000,00;2019;277412150001-10;3.690.500,00;Vencedora
Doc. 00261/19;00002/2019;Pregao Presencial;201016;900.000,00;2019;277497070001-51;2.500.000,00;Vencedora
Doc. 00261/19;00002/2019;Pregao Presencial;201016;92.153.076,00;2019;325928930001-06;2.750.000,00;Vencedora
Doc. 00265/19;00002/2019;Pregao Presencial;201201;6.565.654,00;2019;54536080001-95;20.330.000,00;Vencedora
Doc. 00268/19;00003/2019;Pregao Presencial;201201;1.500.000,00;2019;177924700001-38;18.000.000,00;Vencedora
Doc. 00300/20;00001/2020;Pregao Presencial;201061;42.781.800,00;2020;270738010001-33;17.944.855,00;Vencedora
Doc. 00300/20;00001/2020;Pregao Presencial;201061;720.000,00;2020;283025340001-91;25.713.568,00;Vencedora
Doc. 00301/20;00001/2020;Pregao Presencial;602168;43.659.500,00;2020;133074410001-82;25.600.000,00;Vencedora
Doc. 00307/20;00001/2020;Pregao Presencial;201168;3.948.600,00;2020;133074410001-82;55.600.000,00;Vencedora
Doc. 00310/19;00001/2019;Pregao Presencial;201082;2.009.700,00;2019;87920280001-10;58.995.640,00;Vencedora
Doc. 00310/19;00001/2019;Pregao Presencial;201082;60.433.608,00;2019;250082190001-68;72.749.990,00;Perdedora
Doc. 00310/19;00001/2019;Pregao Presencial;201082;1.923.900,00;2019;302209890001-00;74.389.450,00;Perdedora
Doc. 00322/19;00001/2019;Pregao Presencial;201075;12.200.000,00;2019;129087520001-34;1.810.500,00;Vencedora
Doc. 00322/19;00001/2019;Pregao Presencial;201075;3.157.100,00;2019;134261950001-88;215.000,00;Vencedora
Doc. 00322/19;00001/2019;Pregao Presencial;201075;3.157.100,00;2019;151604930001-02;93.600,00;Vencedora
Doc. 00322/19;00001/2019;Pregao Presencial;201075;3.157.100,00;2019;222653710001-38;2.019.900,00;Vencedora
Doc. 00322/19;00001/2019;Pregao Presencial;201075;3.157.100,00;2019;225263940001-59;3.244.800,00;Vencedora
Doc. 00325/19;00002/2019;Pregao Presencial;201075;10.800.000,00;2019;155144590001-80;4.192.000,00;Perdedora
Doc. 00325/19;00002/2019;Pregao Presencial;201075;13.990.000,00;2019;264356300001-82;1.440.000,00;Vencedora
Doc. 00332/20;00004/2019;Tomada de Precos;201143;3.948.600,00;2020;84386540001-03;19.934.585,00;Vencedora
