ident_licit;modalidade;cd_ugestora;valor_licitado;ano_homologacao;cnpj_proponente;valor_proposta;situacao_proposta;
16320;Pregao Presencial;201165;15407200;2020;11500957000113;7140000;1;
16320;Pregao Presencial;201165;5217950;2020;19382678000104;8240000;0;
16320;Pregao Presencial;201165;15407200;2020;19904801000100;8860000;1;
16619;Pregao Presencial;201051;24225387;2019;11014968000193;6166800;1;
17819;Pregao Presencial;201051;24225387;2019;4451626000175;3349904;1;
17819;Pregao Presencial;201051;24225387;2019;7788510000114;3215750;1;
18319;Pregao Presencial;201186;24225387;2019;9332743000133;60433608;1;
18419;Pregao Presencial;201099;24225387;2019;24395873000109;1923900;1;
18420;Pregao Presencial;201103;15407200;2020;22919869000177;62924605;1;
18420;Pregao Presencial;201103;15407200;2020;28302534000191;72219311;1;
18519;Pregao Presencial;201099;1440000;2019;24395873000109;2009700;1;
18619;Pregao Presencial;201047;7149996;2019;5453608000195;12200000;1;
18920;Tomada de Precos;201117;15407200;2020;31615295000134;20739692;1;
19020;Pregao Presencial;201010;15407200;2020;1034997000163;23254812;1;
19020;Pregao Presencial;201010;38109200;2020;7239645000120;2693350;1;
19020;Pregao Presencial;201010;15407200;2020;9478023000180;905000;1;
19020;Pregao Presencial;201010;38109200;2020;12633952000121;1252000;1;
19020;Pregao Presencial;201010;38109200;2020;15733417000130;1508200;1;
19020;Pregao Presencial;201010;38109200;2020;18072764000158;1393800;1;
19020;Pregao Presencial;201010;38109200;2020;63478895000194;435000;1;
19120;Pregao Presencial;201010;5847300;2020;8160290000142;2626734;1;
19120;Pregao Presencial;201010;1750000;2020;9478023000180;4428328;1;
19120;Pregao Presencial;201010;3600000;2020;63478895000194;2869620;1;
19219;Pregao Presencial;201101;9368800;2019;9210219000190;3126000;1;
19219;Pregao Presencial;201101;23792000;2019;9478023000180;3126000;1;
19219;Pregao Presencial;201101;8662500;2019;10719048000108;3200000;1;
19219;Pregao Presencial;201101;23792000;2019;12710916000114;3030000;1;
19319;Pregao Presencial;201101;23792000;2019;585424000165;10858000;1;
19419;Pregao Presencial;201101;23792000;2019;17792470000138;14000000;1;
19820;Pregao Presencial;201141;5847300;2020;29410698000103;30493101;1;
20020;Pregao Presencial;201060;5847300;2020;16826093000148;18540000;1;
20120;Pregao Presencial;201141;5847300;2020;31526256000160;5005650;1;
20220;Tomada de Precos;201141;11500313;2020;4612555000145;33333333;1;
20220;Tomada de Precos;201141;11500313;2020;11971243000193;16666667;1;
20720;Pregao Eletronico;201095;11500313;2020;11157255000189;6686400;1;
21620;Tomada de Precos;201220;2000000;2020;8649000000129;8520000;1;
21620;Tomada de Precos;201220;11500313;2020;11663900000135;4800000;1;
23320;Pregao Presencial;201195;3220000;2020;9200727000197;20000000;1;
23420;Pregao Presencial;201195;16599000;2020;3817043000152;1462590;1;
23420;Pregao Presencial;201195;7241942;2020;8160290000142;2041000;1;
23420;Pregao Presencial;201195;800000;2020;8674752000140;438500;1;
23420;Pregao Presencial;201195;3220000;2020;9251627000190;297000;1;
23420;Pregao Presencial;201195;3220000;2020;9478023000180;1193100;1;
23420;Pregao Presencial;201195;7241942;2020;10719048000108;3439900;1;
23420;Pregao Presencial;201195;500000;2020;15218561000139;7651160;1;
23420;Pregao Presencial;201195;3220000;2020;26156923000120;325000;1;
23420;Pregao Presencial;201195;800000;2020;33160739000110;2469960;1;
23420;Pregao Presencial;201195;16599000;2020;63478895000194;388350;1;
23620;Pregao Presencial;201042;139600494;2020;4612555000145;25000000;1;
24319;Tomada de Precos;201138;117536348;2019;22371844000181;4800000;1;
24519;Tomada de Precos;201166;58253000;2019;1658745000105;28591549;1;
24619;Pregao Presencial;601044;58253000;2019;13258973000177;7701200;1;
24919;Pregao Presencial;201138;58253000;2019;412020000170;16072440;1;
25519;Pregao Presencial;601013;200000;2019;4650744000102;12000000;1;
25519;Pregao Presencial;601013;6200000;2019;6181052000198;11820000;0;
26119;Pregao Presencial;201016;2500000;2019;11463794000146;7697800;1;
26119;Pregao Presencial;201016;153135060;2019;21893701000177;5000000;1;
26119;Pregao Presencial;201016;6166800;2019;27167851000180;2500000;1;
26119;Pregao Presencial;201016;153135060;2019;27630914000192;2700000;1;
26119;Pregao Presencial;201016;586000;2019;27653352000100;5656800;1;
26119;Pregao Presencial;201016;92153076;2019;27732236000179;2750000;1;
26119;Pregao Presencial;201016;46688000;2019;27741215000110;3690500;1;
26119;Pregao Presencial;201016;900000;2019;27749707000151;2500000;1;
26119;Pregao Presencial;201016;92153076;2019;32592893000106;2750000;1;
26519;Pregao Presencial;201201;6565654;2019;5453608000195;20330000;1;
26819;Pregao Presencial;201201;1500000;2019;17792470000138;18000000;1;
30020;Pregao Presencial;201061;42781800;2020;27073801000133;17944855;1;
30020;Pregao Presencial;201061;720000;2020;28302534000191;25713568;1;
30120;Pregao Presencial;602168;43659500;2020;13307441000182;25600000;1;
30720;Pregao Presencial;201168;3948600;2020;13307441000182;55600000;1;
